%time,field0,field1,field2,field3,field4,field5,field6,field7
1492200525563774108,-0.0172374143878,0.496734780728,0.222166793005,-0.0680421734063,-0.0243745858287,0.00202059062887,3.71055336576e-05,0.017078466
1492200525573966026,-0.0161779177568,0.493910604677,0.217970334857,-0.0676023182459,-0.0248128994601,0.00252152049329,1.5664217875e-05,0.016887728
1492200525583998918,-0.01935640765,0.498072473969,0.220995578852,-0.0668105789573,-0.0244372020618,0.00236497991066,7.99881652228e-05,0.01860437
1492200525594180107,-0.0230646458587,0.497233783967,0.222665796244,-0.0680421734063,-0.0245311264113,0.00230236367761,0.000155032770462,0.016124776
1492200525604252099,-0.0198861559655,0.497475390407,0.226481079554,-0.0683060865025,-0.0242180452461,0.0021771312115,0.000101429481005,0.017078466
1492200525614317893,-0.020415904281,0.499980933507,0.224810862162,-0.0670744920535,-0.0239049640808,0.00198928251234,2.63848757663e-05,0.019939536
1492200525624475002,-0.0188266593344,0.492814517876,0.223840545322,-0.0677782603101,-0.0243745858287,0.00239628802719,5.85468494402e-05,0.016506252
1492200525634541988,-0.020415904281,0.498895373612,0.22586778284,-0.0669865210214,-0.0244372020618,0.00230236367761,9.07088231141e-05,0.017078466
1492200525644671916,-0.0188266593344,0.504652332944,0.222048964605,-0.0682181154705,-0.0245624345279,0.00261544484287,-4.86597294728e-05,0.015552562
1492200525654805898,-0.0235943941742,0.498643240266,0.226158818916,-0.0680421734063,-0.0245624345279,0.00230236367761,9.07088231141e-05,0.017841418
1492200525664851903,-0.0220051492276,0.492572911436,0.219730691011,-0.0679542023742,-0.02409281278,0.00261544484287,0.000122870796788,0.017459942
1492200525674885034,-0.020415904281,0.498653767172,0.221757928529,-0.0671624630856,-0.0242806614791,0.00252152049329,3.71055336576e-05,0.016506252
1492200525684834003,-0.0220051492276,0.50032062027,0.221816842729,-0.0670744920535,-0.0242493533626,0.00211451497845,-1.64977557989e-05,0.01478961
1492200525695307016,-0.0225348975431,0.496981650621,0.224370773124,-0.0669865210214,-0.0242806614791,0.00211451497845,7.99881652228e-05,0.016887728
1492200525705192089,-0.0209456525966,0.504142802799,0.227070221556,-0.0674263761818,-0.0242806614791,0.00214582309498,-5.7770979076e-06,0.01765068
1492200525715215921,-0.0235943941742,0.501395653259,0.225160812438,-0.0680421734063,-0.0245311264113,0.00233367179413,-3.79390715815e-05,0.017459942
1492200525725200891,-0.020415904281,0.501055966496,0.22774243247,-0.0686579706308,-0.0243745858287,0.00255282860982,-0.000134424992603,0.014980348
1492200525735305070,-0.0156481694413,0.494239764534,0.219730691011,-0.0679542023742,-0.0243119695956,0.00230236367761,4.94355998368e-06,0.016506252
1492200525745394945,-0.0167076660723,0.497897367135,0.224928690563,-0.0668985499894,-0.0244058939452,0.00239628802719,-8.08217031467e-05,0.017269204
1492200525755409955,-0.020415904281,0.505315916111,0.223663802722,-0.0680421734063,-0.0242493533626,0.00202059062887,4.94355998368e-06,0.01669699
1492200525765459060,-0.0156481694413,0.492567647983,0.222284621406,-0.0678662313422,-0.0242806614791,0.0021771312115,7.99881652228e-05,0.017078466
1492200525775580883,-0.0214754009121,0.499059953541,0.226924703518,-0.0668985499894,-0.0245311264113,0.00233367179413,-9.15423610381e-05,0.01765068
1492200525785583972,-0.020415904281,0.491574904959,0.218968341334,-0.0676023182459,-0.02409281278,0.00230236367761,-4.86597294728e-05,0.01669699
1492200525795798063,-0.020415904281,0.491322771613,0.219612862611,-0.0681301444384,-0.0244372020618,0.00230236367761,4.94355998368e-06,0.01669699
1492200525805933952,-0.0209456525966,0.493247021509,0.216826810341,-0.0670744920535,-0.0243119695956,0.00208320686192,2.63848757663e-05,0.015552562
1492200525815958023,-0.0257133874363,0.49748065386,0.224457376961,-0.0676023182459,-0.0243745858287,0.00227105556108,6.92675073315e-05,0.016315514
1492200525826056003,-0.0177671627034,0.491909328269,0.217821281894,-0.0685699995987,-0.0244058939452,0.00227105556108,4.94355998368e-06,0.017841418
1492200525836149930,-0.0182969110189,0.500150776889,0.223196024046,-0.0672504341177,-0.0243745858287,0.00236497991066,4.78261915489e-05,0.01955806
1492200525846215963,-0.0172374143878,0.492655201401,0.219817294849,-0.0685699995987,-0.024750283227,0.00239628802719,-3.79390715815e-05,0.017269204
1492200525856326103,-0.0230646458587,0.499070480447,0.221463357528,-0.0676023182459,-0.0240301965469,0.00220843932803,4.78261915489e-05,0.016315514
1492200525866334915,-0.0214754009121,0.501318626748,0.222697020807,-0.0672504341177,-0.024155429013,0.00236497991066,4.94355998368e-06,0.017459942
1492200525876336097,-0.0156481694413,0.501472679771,0.22780134667,-0.0685699995987,-0.0241867371295,0.0021771312115,3.71055336576e-05,0.015934038
1492200525886437892,-0.0209456525966,0.501143519913,0.226806875118,-0.0670744920535,-0.0243745858287,0.00220843932803,4.78261915489e-05,0.018413632
1492200525896473884,-0.0161779177568,0.495402350941,0.222198017568,-0.0672504341177,-0.0244058939452,0.0021771312115,-5.93803873641e-05,0.01765068
1492200525906578063,-0.0209456525966,0.4965702008,0.221168786528,-0.0680421734063,-0.0243745858287,0.00239628802719,0.000176474086245,0.016124776
1492200525916621923,-0.0151184211257,0.500310093364,0.226630132517,-0.0673384051497,-0.0244998182948,0.00249021237677,0.000133591454679,0.015361824
1492200525926664113,-0.0214754009121,0.511221665013,0.22974198035,-0.0671624630856,-0.0241867371295,0.00220843932803,6.92675073315e-05,0.016315514
1492200525936780929,-0.0214754009121,0.497984920552,0.222579192406,-0.0674263761818,-0.0242180452461,0.00202059062887,9.07088231141e-05,0.015361824
1492200525946830987,-0.0241241424897,0.494990901119,0.220704542777,-0.0657549265724,-0.024687666994,0.00220843932803,-7.01010452554e-05,0.017459942
1492200525956979036,-0.0257133874363,0.49681180724,0.225455383439,-0.0676023182459,-0.0248128994601,0.00214582309498,4.94355998368e-06,0.018222894
1492200525966983079,-0.0246538908053,0.497984920552,0.222166793005,-0.0680421734063,-0.0244372020618,0.00208320686192,2.63848757663e-05,0.016887728
1492200525977098941,-0.0172374143878,0.492655201401,0.220583179451,-0.0674263761818,-0.0245624345279,0.0021771312115,4.94355998368e-06,0.019176584
1492200525987169981,-0.0172374143878,0.499152770411,0.221726703967,-0.0679542023742,-0.0246250507609,0.00239628802719,3.71055336576e-05,0.01288223
1492200525997229099,-0.01935640765,0.493992894641,0.218881737497,-0.0669865210214,-0.0240301965469,0.00223974744456,-3.79390715815e-05,0.019176584
1492200526007350921,-0.0267728840674,0.503232349739,0.223722716922,-0.0679542023742,-0.0242180452461,0.00227105556108,9.07088231141e-05,0.015552562
1492200526017328023,-0.0214754009121,0.497316073931,0.223400456284,-0.067690289278,-0.0239988884304,0.00198928251234,1.5664217875e-05,0.014408134
